Код,Проєкт,Хто повідомив,Кому призначена,Пріоритет,Серйозність,Відтворюваність,Версія продукту,Категорія,Зареєстрована,ОС,Версія,Платформа,Рівень доступу,Оновлена,Статистика,Статус,Резолюція,Виправлена у версії
0003441,Project Avada,Telipko,Telipko,нормальний,незначна,завжди,,General,2025-07-03,,,,спільна,2025-07-07,"Не полная EN локализация в разделе ""Vacancies""",призначена,відкрита,
0003439,Project Avada,Telipko,Telipko,нормальний,незначна,завжди,,General,2025-07-03,,,,спільна,2025-07-03,"Отсутствует EN локализация при переходе с главной страницы на страницу ""Карта сайта""",призначена,відкрита,
0003438,Project Avada,Telipko,Telipko,нормальний,незначна,завжди,,General,2025-07-03,,,,спільна,2025-07-03,"Отсутствует EN локализация имен сотрудников  в блоке ""VUE.JS DEVELOPER"" в разделе ""Outstaffing""",призначена,відкрита,
0003428,Project Avada,Telipko,Telipko,низький,незначна,завжди,,General,2025-07-03,,,,спільна,2025-07-03,"Русская локализация. Не корректно отображается перечень ""Страницы"" при переходе на русский язык в разделе ""Карта сайта""",призначена,відкрита,
0003427,Project Avada,Telipko,Telipko,низький,незначна,завжди,,General,2025-07-03,,,,спільна,2025-07-03,"Английская локализация. Не корректно отображается перечень ""Страницы"" при переходе на английский язык в разделе ""Карта сайта""",призначена,відкрита,
